Street,Price,Beds,Baths,Square Footage,Elementery School,Middle School,High School
9712 N Ivanhoe St,$549900,3,2F11/2,2192,Sitton Elementary School,George Middle School,Roosevelt High School
2590 NW 121st Pl,$469995,3,2,1561,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
15711 NE Beech St ,$157500,2,2,975,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
8703 N Chase Ave,$335000,3,1,1008,Rosa Parks Elementary School,George Middle School,Roosevelt High School
7301 SW Corbett Ave,$523000,3,2F11/2,2100,Rieke Elementary School,Gray Middle School,Wilson High School
7471 SW 24th Ave,$1100000,4,3F11/2,3249,Rieke Elementary School,Gray Middle School,Wilson High School
5916 SW Knightsbridge Dr,$615000,3,2F11/2,3024,Markham Elementary School,Jackson Middle School,Wilson High School
2105 SE 89th Ave,$399900,2,1,1632,Harrison Park School,Harrison Park School,Madison High School
1440 NE 76th Ave,$435000,4,2,2164,Vestal Elementary School,Roseway Heights School,Madison High School
322 NE 76th Ave,$450000,4,2,2144,Vestal Elementary School,Roseway Heights School,Madison High School
7550 SW Barnes Rd ,$178900,1,1,572,West Tualatin View Elementary School,Cedar Park Middle School,Beaverton High School
1807 NE 119th Ave,$225000,3,2,1416,Sacramento Elementary School,Parkrose Middle School,Parkrose High School
7419 N Washburne Ave,$635000,3,2F11/2,3064,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
10230 NW Gloaming Ln,$831300,4,3,3110,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
12010 SE Bush St ,$195000,3,2,966,West Powellhurst Elementary School,Ron Russell Middle School,David Douglas High School
4525 NW Kahneeta Dr,$550000,4,2,1900,Rock Creek Elementary School,Stoller Middle School,Westview High School
12280 SE Main St,$199900,2,1,962,Menlo Park Elementary School,Floyd Light Middle School,David Douglas High School
5875 NE Failing St,$549900,3,3F11/2,2200,Scott Elementary School,Roseway Heights School,Madison High School
1221 SW 10th Ave ,$1545000,2,2F11/2,2067,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
10414 SW 46th Pl,$479000,3,3F11/2,2065,Markham Elementary School,Jackson Middle School,Wilson High School
7230 N Monteith Ave,$369900,3,1,1016,Astor Elementary School,Astor Elementary School,Roosevelt High School
2831 NE 108th Ave,$283000,2,1,796,Sacramento Elementary School,Parkrose Middle School,Parkrose High School
5230 SW Burton Dr,$1390000,5,3F11/2,3394,Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School
10635 NE Knott St,$275000,5,1,1980,Sacramento Elementary School,Parkrose Middle School,Parkrose High School
1220 NE 17th Ave ,$258000,2,1,962,Buckman Elementary School,Hosford Middle School,Cleveland High School
2335 NE 148th Pl,$269000,2,2,1226,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
5522 SE Ramona St,$599900,4,2,2812,Woodstock Elementary School,Hosford Middle School,Cleveland High School
6143 SW 45th Ave,$425000,3,1,1330,Hayhurst Elementary School,Gray Middle School,Wilson High School
230 N Lotus Isle Dr,$785000,5,4,3530,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
1255 NW 9th Ave ,$450000,1,1,943,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
9938 N Jersey St,$225000,3,1,936,Sitton Elementary School,George Middle School,Roosevelt High School
9946 N Jersey St,$225000,3,1,936,Sitton Elementary School,George Middle School,Roosevelt High School
1931 SE 58th Ave,$414900,2,1,2300,Atkinson Elementary School,Mt Tabor Middle School,Franklin High School
6814 SE Fern Ave,$135000,1,1,602,Lewelling Elementary School,Rowe Middle School,Milwaukie High School
1636 NW 143rd Ave,$259950,3,2F11/2,1468,Terra Linda Elementary School,Cedar Park Middle School,Sunset High School
4048 SE Salmon St,$665000,3,2,2460,Sunnyside Environmental School,Sunnyside Environmental School,Franklin High School
2705 N Hunt St,$419999,3,2,1602,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
3103 SW Nottingham Dr,$685000,3,2,2106,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
9428 N Haven Ave,$389900,3,2F11/2,1818,Rosa Parks Elementary School,George Middle School,Roosevelt High School
7125 N Albina Ave,$349000,2,1F11/2,1596,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
7706 SW Locust St,$340000,2,1,1136,Metzger Elementary School,Thomas R Fowler Middle School,Tualatin High School
5525 NW Skyline Blvd,$1100000,4,3,4562,Skyline Elementary School,Skyline Elementary School,Lincoln High School
2719 N Farragut St,$469500,4,2,2593,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
1715 SE 36th Ave,$589000,4,2,2423,Abernethy Elementary School,Hosford Middle School,Cleveland High School
2109 NW Irving St ,$266000,1,1,592,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
11203 SW 27th Ave,$556900,4,2F11/2,2152,Stephenson Elementary School,Jackson Middle School,Wilson High School
2470 NE Highland St,$665000,5,2F11/2,2478,Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools
601 SE 156th Ave,$349900,3,1F11/2,1590,Parklane Elementary School,Centennial Middle School,Centennial High School
5924 SE Cesar E Chavez Blvd,$649000,4,2,2498,Woodstock Elementary School,Hosford Middle School,Cleveland High School
1926 W Burnside St ,$539000,2,1F11/2,1181,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
3205 NE 75th Ave,$594900,5,2,2194,Lee Elementary School,Roseway Heights School,Madison High School
937 NW Glisan St ,$750000,2,2,1310,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
416 NW 13th Ave ,$450000,1,1,1089,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
15847 NW Claremont Dr,$709900,3,2,1902,Oak Hills Elementary School,Meadow Park Middle School,Westview High School
333 NW 9th Ave ,$700000,1,2,1401,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
6625 SE Duke St,$339900,3,2,2053,Woodstock Elementary School,Hosford Middle School,Cleveland High School
6610 SW Terri Ct ,$155000,2,1,978,Montclair Elementary School,Whitford Middle School,Southridge High School
10823 NW Ridge Rd,$849900,4,3,3039,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
4311 NE 18th Ave ,$989900,5,3F11/2,2853,Sabin Elementary School,Harriet Tubman Middle School,Grant High School
12631 SE Stephens St,$258000,2,1,888,Mill Park Elementary School,Ron Russell Middle School,David Douglas High School
2915 N Hunt St,$419000,4,1F11/2,1296,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
11937 SE Schiller St,$350000,3,2F11/2,2604,West Powellhurst Elementary School,Ron Russell Middle School,David Douglas High School
7904 SW Capitol Hill,$475000,3,2F11/2,2053,Rieke Elementary School,Gray Middle School,Wilson High School
10406 SW 46th Pl,$475000,4,3F11/2,2065,Markham Elementary School,Jackson Middle School,Wilson High School
15857 SW Wintergreen St,$429900,4,3,2124,Scholls Heights Elementary School,Conestoga Middle School,Mountainside High School
122 NW Pittock Ave,$735000,3,3F11/2,3426,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
14545 NE Brazee Ct,$349999,4,2,1898,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
6236 NE Willow St,$415000,3,2,1072,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
3947 NE Rodney Ave,$575000,3,2,3208,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
8037 SW Devon Ln,$539500,3,2F11/2,1890,Maplewood Elementary School,Jackson Middle School,Wilson High School
6225 SE 13th Ave,$569900,3,2,2072,Llewellyn Elementary School,Sellwood Middle School,Cleveland High School
6035 SE Knight St,$360000,3,1F11/2,1476,Woodstock Elementary School,Hosford Middle School,Cleveland High School
1134 SW Jefferson St ,$200000,1,1,481,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
8317 SE Clay St,$389900,3,2F11/2,1850,Harrison Park School,Harrison Park School,Madison High School
14952 SE Caruthers Ct ,$140000,2,1,956,Parklane Elementary School,Centennial Middle School,Centennial High School
311 NW 12th Ave ,$1299000,2,2F11/2,2117,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
330 NW Uptown Ter ,$319900,1,1,608,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
8618 N Edison St ,$359900,2,2F11/2,968,James John Elementary School,George Middle School,Roosevelt High School
8622 N Edison St ,$374900,2,2F11/2,915,James John Elementary School,George Middle School,Roosevelt High School
3269 NE Dekum St,$429999,3,2,1976,Faubion Elementary School,Faubion Elementary School,Jefferson or Madison High Schools
3231 SE Schiller St,$595000,3,2,2644,Grout Elementary School,Hosford Middle School,Cleveland High School
2222 SE 135th Ave,$349000,3,1,1184,Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School
2033 NE 95th Pl,$459000,3,1F11/2,1944,Lee Elementary School,Roseway Heights School,Madison High School
1849 N Jantzen Ave,$289000,3,1,2064,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
1109 NW 97th Ave,$574900,4,3,2193,Cedar Mill Elementary School,Cedar Park Middle School,Sunset High School
4516 NE 86th Ave,$333000,2,1,800,Russell Elementary,Parkrose Middle School,Parkrose High School
1930 SW River Dr ,$700000,2,2,1500,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
4016 SW Patton Rd,$611900,3,2F11/2,2515,Bridlemile Elementary School,Gray Middle School,Wilson High School
1500 SW 11th Ave ,$319900,1,1,505,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
7522 SE Rural St,$389900,4,2,1883,Woodmere Elementary School,Lane Middle School,Franklin High School
3671 SE Knapp St,$814900,4,2F11/2,2686,Duniway Elementary School,Sellwood Middle School,Cleveland High School
1125 NW 9th Ave ,$499999,2,2,1189,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
5312 NE 12th Ave,$540000,4,2,2054,Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools
3606 SE Johnson Creek Blvd,$484860,3,2,2042,Duniway Elementary School,Sellwood Middle School,Cleveland High School
12015 NW Mcdaniel Rd,$449900,3,2,1442,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
12815 NW Creekside Dr,$895000,3,2F11/2,3074,Terra Linda Elementary School,Cedar Park Middle School,Sunset High School
5120 N Albina Ave,$199000,2,1,2561,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
3211 SE 22nd Ave,$549000,3,2,1774,Abernethy Elementary School,Hosford Middle School,Cleveland High School
5732 SE 134th Pl,$399900,3,2F11/2,1559,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
324 NE Morgan St ,$310000,3,2F11/2,1371,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
9805 N Clarendon Ave,$320000,3,1,1326,Cesar Chavez K-8 School,Cesar Chavez K-8 School,Roosevelt High School
7937 SW 40th Ave ,$199000,1,1,720,Maplewood Elementary School,Jackson Middle School,Wilson High School
9216 SE Market St,$425000,3,2,1740,Harrison Park School,Harrison Park School,Madison High School
7163 NW Eleanor Ave,$369990,2,2F11/2,1386,Sato Elementary School,Stoller Middle School,Westview High School
4855 SE 65th Ave,$565000,4,2,2298,Arleta Elementary School,Arleta Elementary School,Franklin High School
6600 SE Division St ,$280000,2,2,982,Atkinson Elementary School,Mt Tabor Middle School,Franklin High School
8405 SE 8th Ave,$359900,1,1,738,Duniway Elementary School,Sellwood Middle School,Cleveland High School
3294 NW Kinsley Ter,$915000,6,4,3548,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
2547 NW Upshur St,$999000,2,3F11/2,4172,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
12504 SE Stark St ,$170000,2,2,980,Menlo Park Elementary School,Floyd Light Middle School,David Douglas High School
1616 NE 45th Ave ,$358000,2,2,1028,Beverly Cleary School,Beverly Cleary School,Grant High School
420 NW 11th Ave ,$425000,1,1,854,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
17163 SE Alder St,$339999,4,2F11/2,1535,Alder Elementary School,Hauton B Lee Middle School,Reynolds High School
3134 SE 134th Ave,$430000,5,2F11/2,3218,Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School
2162 SE 139th Ave,$315000,3,1,1384,Lincoln Park Elementary School,Ron Russell Middle School,David Douglas High School
2242 NE 158th Ave,$350000,2,2,1344,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
8431 NW Adams St,$657100,3,2F11/2,3831,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
8225 SE Morrison St,$379900,4,2,1003,Harrison Park School,Harrison Park School,Madison High School
2532 NW 119th Ave,$699900,5,2F11/2,3384,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
1723 SE Harney St,$734950,5,3F11/2,2765,Duniway Elementary School,Sellwood Middle School,Cleveland High School
3803 SE 28th Ave,$380000,2,1,1904,Grout Elementary School,Hosford Middle School,Cleveland High School
12231 NE Russell St,$339900,3,1,1389,Russell Elementary,Parkrose Middle School,Parkrose High School
13109 SE Cora St,$269000,4,3,2706,Gilbert Heights Elementary School,Alice Ott Middle School,David Douglas High School
9636 N Woolsey Ave,$367000,4,2,1606,Rosa Parks Elementary School,George Middle School,Roosevelt High School
2078 NW 129th Pl,$829000,4,3F11/2,3462,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
13220 SE Harold St,$499900,4,2,2028,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
3030 SW Ridge Dr,$599900,4,2F11/2,3052,Stephenson Elementary School,Jackson Middle School,Wilson High School
7114 SE Mitchell St,$379900,3,1,1763,Arleta Elementary School,Arleta Elementary School,Franklin High School
2015 NW Flanders St ,$324900,1,1,778,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
7730 SW Barnes Rd ,$245000,2,1,812,West Tualatin View Elementary School,Cedar Park Middle School,Beaverton High School
13639 NE Marine Dr,$699900,3,2,2312,Shaver Elementary School,Parkrose Middle School,Parkrose High School
15281 SW Parkplace Ln,$709000,4,3,3000,Alberta Rider Elementary School,Twality Middle School,Tualatin High School
3172 NE 102nd Ave,$299000,2,2,1708,Sacramento Elementary School,Parkrose Middle School,Parkrose High School
4763 N Lombard St ,$165000,1,1,437,Astor Elementary School,Astor Elementary School,Roosevelt High School
1908 NW 143rd Ave ,$265000,2,1,830,Terra Linda Elementary School,Cedar Park Middle School,Sunset High School
10717 NW Skyline Blvd,$1600000,4,5F11/2,5873,Skyline Elementary School,Skyline Elementary School,Lincoln High School
2667 NW Kennedy Ct ,$322300,2,2,1304,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
2055 SW 85th Ave,$699000,5,3,2824,Ridgewood Elementary School,Cedar Park Middle School,Beaverton High School
408 NW 12th Ave ,$375000,1,1,683,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
1215 NE 110th Ave,$374000,4,1,2413,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
7720 SW Macadam Ave ,$645000,1,1,748,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
6065 SW Taylor St,$625000,4,3,2236,Bridlemile Elementary School,West Sylvan Middle School,Lincoln High School
12834 NW Alsace Ln,$559950,4,2F11/2,2554,Findley Elementary School,Stoller Middle School,Sunset High School
7604 SW 35th Ave,$795000,2,1,1680,Maplewood Elementary School,Jackson Middle School,Wilson High School
1920 SW River Dr ,$1150000,2,2F11/2,2156,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
12633 SE Bush St ,$279900,3,2F11/2,1448,Gilbert Heights Elementary School,Alice Ott Middle School,David Douglas High School
16159 NW Pristine Ln,$469995,3,2F11/2,1925,Sato Elementary School,Stoller Middle School,Westview High School
16135 NW Pristine Ln,$471995,3,2F11/2,1925,Sato Elementary School,Stoller Middle School,Westview High School
5904 NE Sandy Blvd,$655000,2,1,2264,Rose City Park,Roseway Heights School,Madison High School
4900 SW Boundary St,$399000,3,1,1396,Hayhurst Elementary School,Gray Middle School,Wilson High School
839 SW Broadway Dr ,$275000,2,1,875,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
12829 SE Madison St,$457000,4,2,2224,Menlo Park Elementary School,Floyd Light Middle School,David Douglas High School
1857 N Jantzen,$425000,2,2,1435,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
6543 SE Hazel St,$320000,3,1,1032,Ardenwald Elementary School,Rowe Middle School,Milwaukie High School
4609 NE 118th Ave,$245000,3,2F11/2,1376,Prescott Elementary School,Parkrose Middle School,Parkrose High School
7808 SW Skyhar Dr,$499950,3,2F11/2,2495,Montclair Elementary School,Whitford Middle School,Southridge High School
43 SE 89th Ave,$289000,2,1,1196,Vestal Elementary School,Roseway Heights School,Madison High School
6045 NE Flanders St,$725000,2,4,2387,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
2050 N Killingsworth St ,$279800,1,1,703,Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
414 N Bridgeton Rd,$449000,2,2F11/2,2344,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
1826 NE Highland St,$899000,4,2F11/2,2846,Vernon Elementary School,Vernon Elementary School,Jefferson or Madison High Schools
15621 NW Wismer Dr,$469900,3,2F11/2,1776,Sato Elementary School,Stoller Middle School,Westview High School
8441 SW 10th Ave,$419900,2,1F11/2,1250,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
1500 SW 5th Ave ,$1450000,3,2,2436,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
1924 SE 11th Ave ,$325000,2,1,747,Abernethy Elementary School,Hosford Middle School,Cleveland High School
337 N Ivy St,$375000,3,2,1279,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
8122 SE 74th Ave,$290000,5,1F11/2,1613,Whitman Elementary School,Lane Middle School,Cleveland High School
12253 SE Long St,$254950,2,2F11/2,1860,Gilbert Heights Elementary School,Alice Ott Middle School,David Douglas High School
806 NW 118th Ave ,$324900,2,2F11/2,1051,Cedar Mill Elementary School,Cedar Park Middle School,Sunset High School
9221 N Lombard St ,$187900,2,1,752,Sitton Elementary School,George Middle School,Roosevelt High School
2340 N Winchell St,$434900,3,1F11/2,1028,Peninsula Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
110 SE 73rd Ave,$282000,2,1,762,Vestal Elementary School,Roseway Heights School,Madison High School
875 N Watts St,$399900,2,1F11/2,976,Woodlawn Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
4923 SW Lowell St,$689000,3,3,2366,Bridlemile Elementary School,Gray Middle School,Wilson High School
9719 NW Silver Ridge Loop,$381900,2,2,1419,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
725 NW Flanders St ,$435000,1,1,1093,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
3440 NE 63rd Ave,$589950,4,2F11/2,3058,Scott Elementary School,Roseway Heights School,Madison High School
9595 SW Washington St,$585000,5,3,2682,West Tualatin View Elementary School,Cedar Park Middle School,Beaverton High School
15424 SE Tibbetts St,$399000,2,2,1128,Powell Butte Elementary School,Centennial Middle School,Centennial High School
4206 NE 132nd Ave,$359900,3,1F11/2,1386,Shaver Elementary School,Parkrose Middle School,Parkrose High School
6560 SE 57th Ave,$494950,4,3F11/2,1874,Woodmere Elementary School,Lane Middle School,Franklin High School
12620 NE Morris St,$385000,3,1F11/2,1638,Russell Elementary,Parkrose Middle School,Parkrose High School
2974 NW Kennedy Ct ,$335000,3,2,1659,Forest Park Elementary School,West Sylvan Middle School,Lincoln High School
5254 SE 74th Ave,$275000,1,1,588,Marysville Elementary School,Marysville Elementary School,Franklin High School
608 NE 118th Ave,$565000,10,4F41/2,3400,Ventura Park Elementary School,Floyd Light Middle School,David Douglas High School
1900 SW River Dr ,$670000,2,3,1895,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
2944 SE 92nd Ave,$329900,3,2F11/2,1775,Harrison Park School,Harrison Park School,Madison High School
5160 NW Neakahnie Ave ,$220000,2,1F11/2,788,Rock Creek Elementary School,Stoller Middle School,Westview High School
12227 SW Lesser Rd,$440000,3,2,2348,Markham Elementary School,Jackson Middle School,Wilson High School
1841 SE 130th Ave,$369900,3,2F11/2,1337,Mill Park Elementary School,Ron Russell Middle School,David Douglas High School
6453 NW Mcgregor Ter,$409000,3,2F11/2,1504,Jacob Wismer Elementary School,Stoller Middle School,Westview High School
7739 SW 10th Ave,$599000,3,2F11/2,2182,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
200 N Bridgeton Rd,$453000,3,3F11/2,2179,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
8009 SE 144th Dr,$824999,6,4F11/2,5470,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
1500 SW Skyline Blvd ,$269000,2,2,1103,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
2109 SE 118th Ave,$315000,3,1,1533,Mill Park Elementary School,Floyd Light Middle School,David Douglas High School
2116 NW 16th Ave,$788900,2,2F11/2,2074,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
2211 SW Park Pl ,$369900,2,2,1039,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
4619 NW Barnes Rd,$1225000,3,3,2502,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
110 NE 157th Ave,$498000,4,2,2124,Glenfair Elementary School,Hauton B Lee Middle School,Reynolds High School
4376 SE Nehalem St,$674900,3,2F11/2,2603,Lewis Elementary School,Sellwood Middle School,Cleveland High School
1811 NW Couch St ,$349900,2,1,1007,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
7820 N Olympia St,$399000,3,3,1772,Sitton Elementary School,George Middle School,Roosevelt High School
3624 NE Cleveland Ave,$499000,4,2,2776,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
922 NW 11th Ave ,$860000,2,2F11/2,1734,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
1920 SW Wellington Ave,$519900,3,2,1999,William Walker Elementary School,Cedar Park Middle School,Beaverton High School
4216 N Mississippi Ave ,$619950,2,1F11/2,1165,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
10215 SW 31st Ave,$579900,3,3,2393,Stephenson Elementary School,Jackson Middle School,Wilson High School
16317 SE Market St,$293900,3,1,1180,Patrick Lynch Elementary School,Centennial Middle School,Centennial High School
3319 SE 50th Ave,$460000,2,1,1522,Creston Elementary School,Creston Elementary School,Franklin High School
5620 SW Riverside Ln,$399400,2,2,1542,Capitol Hill Elementary School,Jackson Middle School,Wilson High School
6410 NE 41st Ave,$450000,3,2,2747,Rigler Elementary School,Beaumont Middle School,Madison High School
4514 E Burnside St,$610000,6,2,3911,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
7229 N Hurst Ave,$549950,4,2,2892,Astor Elementary School,Astor Elementary School,Roosevelt High School
1209 SW 6th Ave ,$499000,2,1,1140,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
2083 NW Johnson St ,$435000,2,1,1114,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
15612 NW Clubhouse Dr,$359900,2,2F11/2,1641,Oak Hills Elementary School,Meadow Park Middle School,Westview High School
8809 SE Reedway St,$324900,3,1F11/2,1060,Lent Elementary School,Lent Elementary School,Franklin High School
7267 NW 164th Ave,$389995,3,2F11/2,1426,Springville K-8 School,Stoller Middle School,Westview High School
3970 N Interstate Ave ,$339900,1,2,1256,Beach Elementary School,Ockley Green School,Jefferson or Roosevelt High Schools
2354 NW Roosevelt St,$495000,2,2,2111,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
415 N Bridgeton Rd ,$649000,2,2,1647,Faubion Elementary School,Faubion Elementary School,Jefferson or Roosevelt High Schools
12452 NW Fernleaf Ln ,$762495,4,3,3472,Bonny Slope Elementary School,Cedar Park Middle School,Sunset High School
1526 NE 150th Ave,$376500,2,2,1427,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
2114 SE Ladd Ave,$949900,6,2,4188,Abernethy Elementary School,Hosford Middle School,Cleveland High School
7023 SE Knight St,$329000,2,1,820,Arleta Elementary School,Arleta Elementary School,Franklin High School
5703 SE Lambert St,$159900,2,1,864,Whitman Elementary School,Lane Middle School,Cleveland High School
6428 SE 139th Ave,$314900,2,2,1066,Gilbert Park Elementary School,Alice Ott Middle School,David Douglas High School
1734 SW Canby St,$399900,2,1,1503,Rieke Elementary School,Gray Middle School,Wilson High School
18135 NW Corinthian St,$415000,3,2F11/2,1700,Bethany Elementary School,Meadow Park Middle School,Westview High School
2815 SE 28th Pl,$719900,4,3,2053,Abernethy Elementary School,Hosford Middle School,Cleveland High School
8031 SE 9th Ave,$719900,4,2F11/2,2083,Llewellyn Elementary School,Sellwood Middle School,Cleveland High School
435 SW 70th Ter,$404900,3,2F11/2,1825,West Tualatin View Elementary School,Cedar Park Middle School,Beaverton High School
7935 SE Bybee Blvd,$339900,2,1,1298,Woodmere Elementary School,Lane Middle School,Franklin High School
6555 NW 165th Ave,$669000,4,2F11/2,2678,Springville K-8 School,Stoller Middle School,Westview High School
6007 SE Steele St,$625000,4,3F11/2,2550,Arleta Elementary School,Arleta Elementary School,Franklin High School
9635 SE Glenwood St,$375000,3,2,1950,Kelly Elementary School,Lane Middle School,Franklin High School
8329 SW 24th Ave,$398000,3,3F11/2,1724,Maplewood Elementary School,Jackson Middle School,Wilson High School
10725 NE Tillamook St,$334900,4,1,1348,Sacramento Elementary School,Parkrose Middle School,Parkrose High School
8821 NE Wasco St,$325000,3,2F11/2,2029,Lee Elementary School,Roseway Heights School,Madison High School
15059 NW Elaina Ct,$449000,3,3,1996,Jacob Wismer Elementary School,Stoller Middle School,Sunset High School
15237 SE Flavel,$469995,4,3,2694,Pleasant Valley Elementary School,Centennial Middle School,Centennial High School
330 SE 50th Ave,$348000,2,1F11/2,1274,Glencoe Elementary School,Mt Tabor Middle School,Franklin High School
21139 NW Rock Creek Blvd,$381900,3,2,1116,Lenox Elementary School,J W Poynter Middle School,Liberty High School
1621 NE 157th Ave,$389900,4,2,1612,Margaret Scott Elementary School,Hauton B Lee Middle School,Reynolds High School
4145 SW Washouga Ave,$649900,4,3,3130,Rieke Elementary School,Gray Middle School,Wilson High School
6126 SE Malden St,$299999,3,3,1506,Whitman Elementary School,Lane Middle School,Cleveland High School
2211 SW 1st Ave ,$375000,2,1F11/2,1166,Ainsworth Elementary School,West Sylvan Middle School,Lincoln High School
2344 SE 112th Ave,$299900,3,2F11/2,1430,Mill Park Elementary School,Floyd Light Middle School,David Douglas High School
4021 NE 7th Ave,$699900,5,4,2833,Sabin Elementary School,Harriet Tubman Middle School,Grant High School
10161 N Ziegler Ave,$329900,2,1F11/2,1208,Sitton Elementary School,George Middle School,Roosevelt High School
16159 NW Fescue Ct,$359900,4,3,1832,Sato Elementary School,Stoller Middle School,Westview High School
25 NE 47th Ave,$650000,4,1F11/2,3452,Laurelhurst Elementary School,Laurelhurst Elementary School,Grant High School
3549 N Gantenbein Ave ,$339900,2,2,1114,Boise-Eliot Elementary School,Harriet Tubman Middle School,Jefferson or Grant High Schools
14738 SW Juliet Ter,$782000,5,4,4360,Alberta Rider Elementary School,Twality Middle School,Tualatin High School
2335 NW Raleigh St ,$649000,2,2,1281,Chapman Elementary School,West Sylvan Middle School,Lincoln High School
10416 SE Reedway St,$245000,2,1,632,Lent Elementary School,Lent Elementary School,Franklin High School
318 SE Spokane St,$929000,2,2F11/2,2612,Duniway Elementary School,Sellwood Middle School,Cleveland High School
6617 SE 65th Ave,$315000,2,1,884,Woodmere Elementary School,Lane Middle School,Franklin High School
528 NE 92nd Ave,$419000,3,2,1533,Cherry Park Elementary School,Floyd Light Middle School,David Douglas High School
