Street,Price,Beds,Baths,Square Footage
6825 SE 47th Ave,$250000,3,2,1200
1900 SW River Dr #603,$395000,1,1,671
7214 SE 32nd Ave,$744000,3,2,2760
3020 NW Monte Vista Ter,$950000,4,3,3079
15901 NE Hancock St,$340000,3,2F11/2,1612
5654 N Omaha Ave,$400000,3,1,1142
3137 SE Yamhill St,$775000,4,3F11/2,3442
7041 NE 22nd Ave,$595000,3,3,3514
840 NW Naito Pkwy #H-8,$264900,1,1,690
1904 SE Bidwell St,$599900,3,2F11/2,1766
3346 SW Multnomah Blvd,$389450,3,2F11/2,1594
2335 NW Raleigh St #303,$649000,2,2,1281
12717 SE Gladstone St,$293500,3,1F11/2,936
5408 NE Ainsworth St,$525000,4,3,2256
12628 NW Barnes Rd #7,$119000,1,1,596
9020 SE Duke St,$319900,2,1,720
2798 SW Talbot Rd,$1100000,4,3F11/2,4378
3335 NE 68th Ave,$530000,4,3,2427
2426 NE 136th Ave,$349999,3,1F11/2,1859
2021 SW Main St #14,$274900,1,1,660
9131 SE Stephens St,$399000,4,1,2233
2230 SE 147th Ave,$299000,3,1,1200
7673 SE Alder St,$344900,2,1F11/2,942
2810 NE 35th Ave,$649900,4,2,2018
3036 SE Cesar E Chavez Blvd,$414900,3,1,1633
3330 SE 67th,$729900,5,3F11/2,2978
2937 NW Verde Vista Ter,$1075000,4,2F11/2,2936
2931 NW Verde Vista Ter,$1025000,3,2F11/2,2676
4486 SW Washouga Ave,$699000,4,2F11/2,2672
3908 NE 8th Ave,$774000,4,4,2833
6412 SE Clatsop St,$305900,3,2,1400
11984 NW Schall St,$829950,4,3,3019
11965 NW Schall St,$789950,5,3,3145
7706 SE Yamhill St,$400000,3,2,1920
937 NW Glisan St #936,$750000,2,2,1310
8810 SW Oak Ln,$700000,4,3,2456
1400 NW Irving St #732,$375000,1,1,839
6815 N Portsmouth Ave,$629900,4,2F11/2,2210
8937 N Dwight Ave,$309000,3,1F11/2,1344
915 SE 35th Ave #303,$299000,1,1,990
3402 NE 57th Ave,$465000,3,2,1280
2515 SE 29th Ave #5,$535000,3,3F11/2,1456
3352 SW Spring Garden St,$800000,3,1,1334
14542 NE Rose Pkwy,$299000,3,2,1966
7007 N Concord Ave,$649950,3,2F11/2,2016
4336 SW Pendleton St,$839000,4,2F11/2,3465
935 NE 193rd Ave,$379500,3,2,1500
2114 N Farragut St,$374900,2,1F11/2,798
1001 NW Lovejoy St #504,$885000,2,2,1266
6970 SE 35th Ave,$1099900,4,3F11/2,3159
12889 NW Hartford St,$975000,4,3F11/2,3898
790 SE Webber St #112,$414900,2,1F11/2,1201
3338 SE 61st Ave,$689900,3,2F11/2,2403
6980 SE 35th Ave,$1099900,4,3F11/2,3200
3324 SE 61st Ave,$689900,3,2F11/2,2337
3346 SE 61st Ave,$719900,4,3,2464
8815 NE Wasco St,$340000,3,2F11/2,1768
255 SW SW Harrison St #1A,$299900,2,1,947
16475 NW Ernst St,$379995,3,2F11/2,1426
17371 NW Shackelford Rd,$374995,3,2F11/2,1698
117 SW Gibbs St,$1045000,2,2F11/2,1952
8947 N Curtis Ave,$395000,3,1,976
14411 SE Knight St,$650000,6,3F21/2,3524
3324 NE 89th Ave,$449950,4,3,2369
7070 NE 7th Pl,$399900,3,1F21/2,1000
968 N Kilpatrick St,$394900,3,2F11/2,1621
3244 NE Us Grant Pl,$850000,3,2,2924
3134 NE 76th Ave,$269000,1,1,600
16596 NW Covic Ln,$819950,5,3,3305
7808 NW 167th Ave,$869950,5,3,3330
7824 NW 167th Ave,$899950,5,4F11/2,3673
5345 NW Pondosa Dr,$449900,4,2,1737
2980 SW Garden View Ave,$729900,5,3,3229
1420 NW Lovejoy St #721,$560000,1,1,1180
300 NW 8th Ave #807,$550000,1,1,956
8405 N Exeter Ave,$375000,4,2,2474
1908 NE Siskiyou St,$935000,5,2F11/2,4011
2732 SE 120th Ave,$365000,3,2,2102
2835 NE 67th Ave,$425000,3,1,2190
1751 N Jantzen Ave #1751,$499000,4,2,2685
16950 SE Salmon St,$279900,4,1,1296
4576 SW Comus Pl #8-A,$199999,2,2,1058
18022 SE Lincoln St,$310000,3,1,1032
16819 SE Equestrian Way,$350000,3,2,1593
1030 SE 60th Ave,$749990,5,3F11/2,2335
13115 SE Foster Rd #50,$66000,3,2,1080
554 NE 200th Pl,$309900,3,2,1762
3722 SE Taylor St,$949950,3,2F21/2,2968
5627 SW Coronado St,$601900,4,2F11/2,2610
4056 SE Mall St,$479900,3,2F11/2,1620
5677 SW Menefee Dr,$1695000,4,4F11/2,5327
4116 N Borthwick Ave,$495000,2,1,1336
4954 NE Skidmore St,$749950,4,2F11/2,2493
300 NW 8th Ave #308,$389000,1,1,833
4950 SE SE Franklin St #1,$310000,2,1,917
659 N Tomahawk Island Dr,$375000,3,2F11/2,1917
1500 SW Park Ave #230,$299900,1,1,597
14854 NE Eugene St,$334500,2,2,1242
10204 NW Alder Grove Ln,$284900,2,2,1280
2224 SE 145th Ave,$330000,3,1F11/2,1200
3935 SW Corbett Ave,$1000000,7,7,4811
4005 N Willamette Blvd,$670000,4,2,3226
9742 NW Skyline Heights Dr,$1115000,4,3F11/2,5057
7036 NW Eleanor Ave,$515000,4,2F11/2,1744
4430 N Michigan Ave,$819900,4,3F11/2,2771
3275 NE Bryce St,$1375000,5,3F11/2,3848
3414 NE 54th Ave,$535000,3,2,2010
12403 SW 55th Pl,$855000,4,2F11/2,3409
16768 NW Crossvine St,$799950,5,3,3669
5400 NE 30th Ave #202,$254900,1,1,594
10218 N Barr Ave,$607500,4,3,2669
3026 NE Oregon St,$650000,3,2,2592
9028 N Chautauqua Pl,$315000,3,1,858
1811 NW Couch St #508,$349900,2,1,1007
1806 SW Taylors Ferry Rd,$699800,5,3,2516
4821 SW Seymour Ct,$475000,3,2,1289
19159 SE Yamhill St #15,$209000,2,2F11/2,1079
3011 SE 92nd Ave,$339900,3,2F11/2,1510
1506 SW Broadway Dr,$459000,3,2F11/2,1775
4992 NW Huserik Dr,$459000,4,2F11/2,2018
6310 SE Windsor Ct,$699999,4,2F11/2,2243
255 SW Harrison St #4C,$229999,1,1,600
